sep=,
index,class,number of faces, number of vertices, type of faces, minimum X value, maximum X value, minimum Y value, maximum Y value, minimum Z value, maximum Z value, baricenter x coordinate, baricenter y coordinate, baricenter z coordinate, path, vertices verdict, volume
32,Bearing,3322,1663,triangles,-0.276699,0.276405,-0.276398,0.275771,-0.840792,0.997682,-0.000146882,-0.000313179,0.000218367,343.off,,0.561483
33,Bearing,6360,3182,triangles,-0.262406,0.264029,-0.824967,0.399877,-0.262549,0.259591,-0.0011738,-0.310626,0.0013578,344.off,,0.336676
34,Bearing,7224,3614,triangles,-0.266991,0.26615,-0.819012,0.401818,-0.263469,0.264304,0.000563842,-0.33503,-6.22909e-05,345.off,,0.343514
35,Bearing,7170,3587,triangles,-0.267444,0.265877,-0.402186,0.817879,-0.266745,0.265049,-0.00188237,0.340804,0.000406581,346.off,,0.346031
36,Bearing,5242,2623,triangles,-0.340364,0.339575,-0.342209,0.341917,-0.882126,0.940831,-0.000308092,0.00156527,-0.0840857,347.off,,0.847974
37,Bearing,5132,2568,triangles,-0.077731,0.0773,-0.504169,0.50374,0.716162,0.871193,-4.69307e-05,-0.122855,0.794599,348.off,,0.0242247
38,Bearing,5132,2568,triangles,-0.145886,0.124,-0.996599,0.75802,-0.145886,0.124,-0.0118908,-0.203009,-0.0115435,349.off,,0.127804
39,Bearing,17514,8759,triangles,-0.141916,0.143134,-0.141449,0.143601,-0.856961,0.997773,-8.31031e-05,-7.30934e-05,1.85514e-05,350.off,,0.150704
40,Bearing,10380,5192,triangles,-0.261503,0.261133,-0.261587,0.263057,-0.991175,0.850596,-0.00018526,-0.000189367,2.31121e-06,351.off,,0.50501
41,Bearing,20796,10400,triangles,-0.233216,0.232391,-0.231485,0.231397,-0.99319,0.636527,-8.00462e-05,-8.74844e-05,1.2714e-06,352.off,TOO MANY VERTICES,0.351238
42,Bearing,3020,1512,triangles,-0.826823,0.998541,-0.190733,0.191648,-0.190732,0.191649,0.138831,0.00041914,0.000433117,353.off,,0.266896
43,Bearing,5816,2910,triangles,-0.172872,0.172716,-0.222799,0.995455,-0.172553,0.172466,-0.00237227,0.231112,-0.000990253,354.off,,0.145258
44,Bearing,29984,14994,triangles,-0.124472,0.12416,-0.994143,0.994918,-0.123083,0.125549,-7.5396e-06,-6.30231e-05,0.000855697,355.off,TOO MANY VERTICES,0.12296
45,Bearing,29980,14992,triangles,-0.124505,0.124144,-0.994273,0.994918,-0.123108,0.125541,-7.52637e-06,-6.30284e-05,0.00085585,356.off,TOO MANY VERTICES,0.122984
46,Bearing,29764,14872,triangles,-0.988626,0.98104,-0.06511,0.065125,-0.132705,0.135563,1.47782e-05,-4.81108e-06,6.76888e-05,357.off,TOO MANY VERTICES,0.068816
47,Bearing,28266,14127,triangles,-0.47443,0.474808,-0.999126,0.246267,-0.473974,0.475264,-0.00029214,-0.00026129,0.000640718,358.off,TOO MANY VERTICES,1.12216
48,Bearing,29924,14956,triangles,-0.476469,0.475753,-0.250227,0.999094,-0.474857,0.477366,0.000227308,0.000600454,0.000972216,359.off,TOO MANY VERTICES,1.13279
49,Bearing,4396,2200,triangles,-0.019954,0.018022,-0.018536,0.019193,0.808332,0.999886,-0.00118773,6.06098e-05,0.903605,360.off,,0.000274458
50,Bird,6952,3478,triangles,-0.817241,0.572893,-0.19001,0.096359,-0.991542,0.996323,-0.000426345,-0.000401033,-9.04358e-05,241.off,,0.791352
51,Bird,15694,7849,triangles,-0.908609,0.909242,-0.375195,0.427749,-0.661338,0.637271,-0.000124037,-0.000100089,-6.39593e-05,242.off,,1.89549
52,Bird,6312,3158,triangles,-0.994221,0.998279,-0.251224,0.260431,-0.283915,0.279869,-0.000397623,-0.000458588,-0.000311279,243.off,,0.574762
53,Bird,8998,4501,triangles,-0.979481,0.987675,-0.196637,0.082153,-0.541803,0.380353,-0.000269403,-0.000284279,-0.000176914,244.off,,0.505732
54,Bird,12946,6475,triangles,-0.905726,0.909522,-0.360399,0.411998,-0.66175,0.594742,-0.000159686,-0.000128662,-8.41779e-05,245.off,,1.76172
55,Bird,8434,4219,triangles,-0.972137,0.977143,-0.35037,0.193331,-0.349167,0.300813,-0.000274564,-0.000279145,-0.000219434,246.off,,0.688865
56,Bird,11034,5519,triangles,-0.912034,0.939714,-0.343769,0.384718,-0.59118,0.413943,-0.000193413,-0.000180006,-0.00012232,247.off,,1.35589
57,Bird,23576,11790,triangles,-0.769412,0.684537,-0.505852,0.687331,-0.724197,0.517258,-7.90632e-05,-4.60639e-05,-2.60472e-05,248.off,TOO MANY VERTICES,2.15371
58,Bird,7424,3714,triangles,-0.995464,0.968477,-0.31703,0.076347,-0.515943,0.445595,-0.00033266,-0.000374769,-0.000214884,249.off,,0.742855
59,Bird,8556,4280,triangles,-0.596978,0.75775,-0.943793,0.970807,-0.115959,0.068393,0.000410409,-0.000259003,-1.29097e-05,250.off,,0.478165
60,Bird,6312,3158,triangles,-0.994221,0.998279,-0.251224,0.260431,-0.283915,0.279869,-0.000397623,-0.000458588,-0.000311279,251.off,,0.574762
61,Bird,12698,6351,triangles,-0.873199,0.863273,-0.483389,0.286749,-0.622096,0.444213,-0.000170101,-0.000231215,-9.00206e-05,252.off,,1.426
62,Bird,12324,6164,triangles,-0.920349,0.913236,-0.17476,0.317059,-0.690524,0.899329,-0.000195807,-0.000222606,-7.49545e-05,253.off,,1.43372
63,Bird,7272,3638,triangles,-0.134714,0.075077,-0.997037,0.997805,-0.535184,0.416893,-8.55806e-05,-0.000319022,-7.09039e-05,254.off,,0.398444
64,Bird,10104,5054,triangles,-0.96463,0.976911,-0.30213,0.22517,-0.511554,0.55328,-0.00021575,-0.000225002,-0.000142427,255.off,,1.09015
65,Bird,11936,5970,triangles,-0.769096,0.941027,-0.587246,0.456183,-0.77253,0.863964,-0.00160462,0.000145748,0.000264974,256.off,,2.92015
66,Bird,4266,2135,triangles,-0.961106,0.952787,-0.190417,0.082656,-0.570424,0.384807,0.00447321,-0.00488167,0.00769581,257.off,,0.499235
67,Bird,17888,8946,triangles,-0.654389,0.742536,-0.65958,0.745679,-0.627187,0.630926,0.00370829,0.00256061,-0.000812079,258.off,,2.46973
68,Bird,18026,9015,triangles,-0.89837,0.903926,-0.314132,0.287996,-0.739547,0.883729,-0.000116273,-6.40466e-05,-1.96037e-05,259.off,,1.7616
69,Bird,4990,2497,triangles,-0.487526,0.450508,-0.451159,0.659252,-0.661174,0.661503,-0.000426055,0.000669506,0.000504269,260.off,,1.3777
70,Bust,18500,9252,triangles,-0.50411,0.469789,-0.943762,0.941315,-0.42413,0.414572,-1.10463e-05,7.33453e-05,3.12785e-05,301.off,,1.53975
71,Bust,50246,25125,triangles,-0.702436,0.700089,-0.764881,0.9798,-0.507199,0.498003,-8.07553e-07,-5.4089e-06,-1.34643e-05,302.off,TOO MANY VERTICES,2.45969
72,Bust,31028,15516,triangles,-0.673445,0.492645,-0.804114,0.542163,-0.538,0.433348,-2.72093e-05,-1.39286e-07,-6.32461e-06,303.off,TOO MANY VERTICES,1.5249
73,Bust,50930,25467,triangles,-0.957968,0.975228,-0.531792,0.507017,-0.371623,0.398172,-2.49725e-05,4.18786e-06,-1.24711e-05,304.off,TOO MANY VERTICES,1.54592
74,Bust,55644,27824,triangles,-0.768354,0.84122,-0.904408,0.80999,-0.660783,0.572598,0.000105314,-9.21618e-05,0.00155874,305.off,TOO MANY VERTICES,3.40345
75,Bust,53592,26798,triangles,-0.555583,0.690609,-0.682752,0.99804,-0.508109,0.504535,2.67586e-05,-6.12265e-05,0.00123766,306.off,TOO MANY VERTICES,2.12107
76,Bust,54874,27439,triangles,-0.912588,0.901272,-0.851247,0.812482,-0.838986,0.865703,7.92648e-05,-7.10204e-05,0.00145623,307.off,TOO MANY VERTICES,5.14436
77,Bust,47948,23976,triangles,-0.956582,0.767926,-0.9225,0.918834,-0.770538,0.753754,-0.000231865,5.53569e-05,0.00237279,308.off,TOO MANY VERTICES,4.84023
78,Bust,10390,5197,triangles,-0.558342,0.577043,-0.572663,0.577494,-0.875816,0.535348,-0.000311337,0.000355333,0.000185612,309.off,,1.8428
79,Bust,16522,8263,triangles,-0.998695,0.843467,-0.921899,0.924618,-0.628841,0.655525,-0.000140935,-0.000176937,0.000115045,310.off,,4.36888
80,Bust,50456,25230,triangles,-0.573191,0.506864,-0.789055,0.985292,-0.681581,0.621898,-2.37894e-05,-1.90121e-05,0.000337763,311.off,TOO MANY VERTICES,2.49798
81,Bust,53966,26985,triangles,-0.720048,0.932582,-0.71213,0.782271,-0.593811,0.53192,-0.000251098,0.000348981,5.15075e-05,312.off,TOO MANY VERTICES,2.78021
82,Bust,21700,10852,triangles,-0.600833,0.733413,-0.88162,0.79335,-0.644978,0.70034,-7.6792e-05,-4.57224e-05,0.00209209,313.off,TOO MANY VERTICES,3.00655
83,Bust,52870,26437,triangles,-0.736188,0.731317,-0.578504,0.992582,-0.398961,0.411304,-5.06872e-06,-5.04285e-06,0.000182861,314.off,TOO MANY VERTICES,1.86813
84,Bust,51532,25768,triangles,-0.530406,0.61504,-0.865507,0.718204,-0.681001,0.694789,-3.83203e-05,-6.81083e-05,-0.000102351,315.off,TOO MANY VERTICES,2.49576
85,Bust,46786,23395,triangles,-0.514321,0.654632,-0.894649,0.724172,-0.636235,0.766385,2.00137e-05,9.77707e-05,0.000295413,316.off,TOO MANY VERTICES,2.65421
86,Bust,55448,27726,triangles,-0.516673,0.544574,-0.986374,0.813392,-0.725424,0.623639,1.28941e-05,4.85789e-07,-2.5181e-05,317.off,TOO MANY VERTICES,2.57671
87,Bust,50286,25145,triangles,-0.520655,0.519813,-0.747323,0.684717,-0.760535,0.716309,-1.24961e-05,-4.9111e-06,0.000288442,318.off,TOO MANY VERTICES,2.20049
88,Bust,53112,26558,triangles,-0.984869,0.957168,-0.527599,0.552901,-0.55985,0.636884,-3.61307e-05,2.35142e-05,-4.58397e-05,319.off,TOO MANY VERTICES,2.51119
89,Bust,54232,27118,triangles,-0.890795,0.858232,-0.774668,0.955581,-0.695207,0.622633,-1.62936e-05,2.51767e-05,0.000193407,320.off,TOO MANY VERTICES,3.98812
90,Chair,16998,8499,triangles,-0.493519,0.307603,-0.821996,0.8274,-0.374858,0.388485,-0.000168481,-0.000182768,-8.22031e-05,101.off,,1.00866
91,Chair,31456,15724,triangles,-0.609792,0.588386,-0.759604,0.810961,-0.677108,0.569081,-6.1465e-05,-1.44006e-05,-2.29253e-05,102.off,TOO MANY VERTICES,2.3451
92,Chair,19304,9652,triangles,-0.489907,0.347921,-0.81743,0.842901,-0.447536,0.419289,-7.46775e-05,-2.74895e-05,-6.58753e-05,103.off,,1.20582
93,Chair,17306,8653,triangles,-0.334679,0.347536,-0.391158,0.273033,-0.877679,0.831891,-8.88172e-05,-9.11168e-05,-2.79218e-05,104.off,,0.774642
94,Chair,18530,9261,triangles,-0.327021,0.335791,-0.396165,0.248718,-0.878967,0.781982,-0.000145304,-8.33892e-05,-2.21285e-05,105.off,,0.70995
95,Chair,28104,14052,triangles,-0.611847,0.441864,-0.469905,0.475525,-0.859216,0.683096,-5.28248e-05,-9.36222e-05,-8.30845e-06,106.off,TOO MANY VERTICES,1.53647
96,Chair,22854,11421,triangles,-0.580726,0.497275,-0.896565,0.877841,-0.485087,0.621226,-9.2466e-05,-3.12144e-05,-5.01524e-05,107.off,TOO MANY VERTICES,2.11617
97,Chair,21008,10500,triangles,-0.608087,0.502543,-0.894292,0.889588,-0.586326,0.502049,-0.000101354,-9.38556e-05,-5.56366e-05,108.off,TOO MANY VERTICES,2.15632
98,Chair,20602,10301,triangles,-0.428741,0.428097,-0.767079,0.622377,-0.371233,0.504622,-2.21012e-05,-1.90424e-05,-1.39081e-05,109.off,TOO MANY VERTICES,1.04274
99,Chair,16920,8456,triangles,-0.325901,0.34473,-0.876349,0.764138,-0.420497,0.31437,-8.95105e-05,-3.0151e-05,-8.22841e-05,110.off,,0.808472
100,Cup,30396,15198,triangles,-0.958498,0.704164,-0.565449,0.523527,-0.614474,0.620392,-8.1437e-05,-7.55052e-05,-2.96732e-05,21.off,TOO MANY VERTICES,2.23585
101,Cup,30004,15002,triangles,-0.820897,0.939458,-0.598363,0.710098,-0.687758,0.693897,-5.64582e-05,-5.63452e-05,-2.89497e-05,22.off,TOO MANY VERTICES,3.18244
102,Cup,30074,15037,triangles,-0.988173,0.786336,-0.577739,0.44876,-0.714207,0.716959,-0.000630113,0.00406014,-1.47926e-05,23.off,TOO MANY VERTICES,2.60691
103,Cup,30492,15246,triangles,-0.838958,0.943793,-0.631289,0.699648,-0.700982,0.70249,-5.59119e-05,-5.31384e-05,-2.69295e-05,24.off,TOO MANY VERTICES,3.33006
104,Cup,30170,15087,triangles,-0.585517,0.579172,-0.885707,0.821075,-0.571351,0.576458,-6.55579e-05,-9.06404e-05,-3.29262e-05,25.off,TOO MANY VERTICES,2.2817
105,Cup,30418,15209,triangles,-0.643368,0.912592,-0.520257,0.523004,-0.771033,0.715781,-4.03753e-05,-3.49e-05,-1.61577e-05,26.off,TOO MANY VERTICES,2.4135
106,Cup,30274,15137,triangles,-0.642404,0.86371,-0.549153,0.554481,-0.662109,0.703455,-4.45059e-05,-3.3582e-05,-1.71151e-05,27.off,TOO MANY VERTICES,2.26984
107,Cup,30140,15070,triangles,-0.959558,0.727063,-0.582282,0.519904,-0.621327,0.6294,-8.64564e-05,-7.58085e-05,-2.98029e-05,28.off,TOO MANY VERTICES,2.32506
108,Cup,30254,15127,triangles,-0.624264,0.935906,-0.500294,0.490971,-0.650657,0.640459,-4.06571e-05,-3.41199e-05,-2.12358e-05,29.off,TOO MANY VERTICES,1.99677
109,Cup,30008,15006,triangles,-0.542379,0.549027,-0.928333,0.518388,-0.541002,0.550698,-0.000122056,0.0170694,-2.4236e-05,30.off,TOO MANY VERTICES,1.72375
110,Fish,14238,7121,triangles,-0.940084,0.842687,-0.301129,0.296484,-0.492031,0.571906,-0.000280337,-0.000114862,-8.47206e-05,221.off,,1.13353
111,Fish,10506,5255,triangles,-0.859245,0.952138,-0.254741,0.281493,-0.24972,0.43338,-5.30418e-05,-0.000218608,-0.000153135,222.off,,0.663512
112,Fish,13308,6656,triangles,-0.80937,0.960947,-0.364122,0.424418,-0.464803,0.362756,-0.000157308,-0.000166681,-0.000106756,223.off,,1.15524
113,Fish,10118,5061,triangles,-0.839969,0.979541,-0.228352,0.290794,-0.400057,0.22117,-0.000150792,-0.000189844,-0.000165621,224.off,,0.586806
114,Fish,12148,6076,triangles,-0.812895,0.9768,-0.280438,0.336214,-0.515638,0.36526,-0.000170993,-0.000175684,-0.000114865,225.off,,0.972176
115,Fish,10428,5216,triangles,-0.91749,0.926628,-0.2702,0.288422,-0.237113,0.379781,-0.000194733,-0.000217764,-0.000165294,226.off,,0.635503
116,Fish,10428,5216,triangles,-0.91749,0.926628,-0.2702,0.288422,-0.237113,0.379781,-0.000194733,-0.000217764,-0.000165294,227.off,,0.635503
117,Fish,11180,5592,triangles,-0.26196,0.265794,-0.835519,0.956741,-0.348772,0.439248,-0.000243978,-0.000138799,-0.000137164,228.off,,0.745366
118,Fish,10486,5245,triangles,-0.276698,0.287678,-0.243222,0.430983,-0.951464,0.923361,-0.000179708,-0.000184403,-5.59018e-05,229.off,,0.713381
119,Fish,15142,7573,triangles,-0.94691,0.843766,-0.495329,0.586114,-0.312588,0.314026,-0.000264365,-7.96234e-05,-0.000108234,230.off,,1.21345
120,FourLeg,13872,6938,triangles,-0.660265,0.973864,-0.589829,0.472524,-0.28568,0.285379,0.0297128,0.000522037,0.000143095,381.off,,0.991371
121,FourLeg,16152,8078,triangles,-0.435902,0.272533,-0.755616,0.790742,-0.690518,0.588281,7.30309e-06,-8.85078e-05,-7.56075e-05,382.off,,1.40092
122,FourLeg,26658,13331,triangles,-0.295177,0.296016,-0.994827,0.805897,-0.519569,0.402432,-0.00120575,-0.00713631,-0.0296203,383.off,TOO MANY VERTICES,0.98154
123,FourLeg,9420,4712,triangles,-0.229803,0.228657,-0.99915,0.992518,-0.420185,0.679216,-9.98945e-05,-0.000309958,-0.000244376,384.off,,1.00386
124,FourLeg,20868,10436,triangles,-0.777083,0.985057,-0.719645,0.606136,-0.255539,0.252773,-8.07876e-05,-2.11023e-05,-1.11183e-06,385.off,TOO MANY VERTICES,1.18752
125,FourLeg,4170,2087,triangles,-0.753341,0.873634,-0.543121,0.666825,-0.581658,0.555778,-0.000133124,-7.24899e-05,-2.04108e-05,386.off,,2.2391
126,FourLeg,29356,14680,triangles,-0.90003,0.696441,-0.756033,0.698056,-0.347903,0.328176,0.000202595,-0.000130183,3.58946e-05,387.off,TOO MANY VERTICES,1.56946
127,FourLeg,16818,8411,triangles,-0.866458,0.997839,-0.604138,0.433665,-0.326592,0.329785,-0.000102759,5.13444e-06,-9.47669e-07,388.off,,1.26994
128,FourLeg,18976,9490,triangles,-0.282428,0.288643,-0.815206,0.783179,-0.679687,0.672609,7.69818e-05,-2.41596e-05,0.000124082,389.off,,1.23436
129,FourLeg,18474,9239,triangles,-0.246158,0.245787,-0.73804,0.942716,-0.49889,0.572236,1.34203e-05,8.70169e-05,3.24391e-05,390.off,,0.885649
130,Glasses,14028,7016,triangles,-0.510195,0.51334,-0.218681,0.865405,-0.194411,0.132662,-5.19459e-05,-2.65466e-05,-7.49549e-05,41.off,,0.36292
131,Glasses,8324,4164,triangles,-0.829496,0.421376,-0.160265,0.744645,-0.174753,0.132307,-0.000186205,-8.24685e-05,-0.000155255,42.off,,0.347569
132,Glasses,6824,3414,triangles,-0.824487,0.431369,-0.130222,0.114313,-0.709116,0.212587,-0.000381525,-0.000203806,-0.000100437,43.off,,0.283056
133,Glasses,12572,6288,triangles,-0.524319,0.528506,-0.177508,0.161646,-0.921748,0.290267,-0.000178945,-0.000101003,-2.75036e-05,44.off,,0.432774
134,Glasses,10794,5399,triangles,-0.618414,0.616685,-0.176785,0.147591,-0.89774,0.190923,-6.21352e-05,-0.000142499,-4.56266e-05,45.off,,0.436158
135,Glasses,4784,2394,triangles,-0.996711,0.832152,-0.099818,0.458016,-0.158213,0.120276,-0.000415691,-0.000366329,-0.000421606,46.off,,0.284115
136,Glasses,4052,2028,triangles,-0.997563,0.987167,-0.044583,0.092473,-0.156803,0.125978,-0.00048367,-0.000585228,-0.000551997,47.off,,0.0769219
137,Glasses,10348,5176,triangles,-0.845802,0.490744,-0.21552,0.751772,-0.178388,0.153024,-0.000152214,-6.98175e-05,-0.000129044,48.off,,0.428459
138,Glasses,6220,3110,triangles,-0.840571,0.849512,-0.186472,0.528058,-0.168001,0.141263,-0.000386333,-0.000227861,-0.000293764,49.off,,0.373472
139,Glasses,14836,7420,triangles,-0.517775,0.52528,-0.236303,0.861516,-0.197371,0.135842,-4.8063e-05,-2.54246e-05,-7.20339e-05,50.off,,0.381557
140,Hand,14480,7242,triangles,-0.509681,0.424679,-0.454798,0.226025,-0.928548,0.99185,-0.000157558,-0.000203758,-3.97064e-05,181.off,,1.22163
141,Hand,20562,10283,triangles,-0.471096,0.401714,-0.906068,0.973379,-0.478443,0.532723,-8.39141e-05,-5.27216e-05,-7.06455e-05,182.off,TOO MANY VERTICES,1.65872
142,Hand,22822,11413,triangles,-0.994201,0.679096,-0.951055,0.909497,-0.258079,0.377651,-0.000116456,-0.000105946,-7.66683e-05,183.off,TOO MANY VERTICES,1.97919
143,Hand,9366,4685,triangles,-0.361583,0.364226,-0.511277,0.391298,-0.746908,0.984585,8.27093e-05,-0.000144842,0.000450905,184.off,,1.1343
144,Hand,4974,2489,triangles,-0.580888,0.427228,-0.180106,0.177549,-0.977884,0.677286,0.00133745,-0.00085446,0.00707588,185.off,,0.596784
145,Hand,13210,6607,triangles,-0.461446,0.587954,-0.388926,0.220979,-0.976936,0.851676,-0.000138046,-0.000206606,-4.10695e-05,186.off,,1.17037
146,Hand,15256,7628,triangles,-0.510634,0.427117,-0.453623,0.228519,-0.934661,0.993632,-0.000148683,-0.000190897,-3.79841e-05,187.off,,1.23349
147,Hand,17202,8603,triangles,-0.450427,0.714867,-0.798626,0.978778,-0.674673,0.502218,-0.000100638,-0.000164183,-0.00014029,188.off,,2.43757
148,Hand,28164,14084,triangles,-0.553877,0.687941,-0.63363,0.808058,-0.755693,0.438209,-6.17913e-05,-6.10572e-05,-2.39072e-05,189.off,TOO MANY VERTICES,2.13746
149,Hand,14996,7500,triangles,-0.448432,0.714549,-0.644356,0.965411,-0.143274,0.369168,-6.22307e-05,-2.84976e-05,-2.3612e-05,190.off,,0.959357
150,Human,9408,4706,triangles,-0.362883,0.364758,-0.138176,0.155597,-0.979672,0.816414,0.000789113,0.000238784,-0.00618139,1.off,,0.383934
151,Human,19012,9508,triangles,-0.211414,0.140155,-0.964406,0.930527,-0.518502,0.527886,-1.93505e-05,4.2137e-06,6.33608e-06,10.off,,0.697103
152,Human,20096,10050,triangles,-0.205586,0.133258,-0.959707,0.916526,-0.533277,0.505301,-1.88329e-06,2.24596e-06,-5.1556e-05,2.off,TOO MANY VERTICES,0.660276
153,Human,11278,5641,triangles,-0.268936,0.280586,-0.937717,0.556325,-0.267749,0.426877,0.000115891,-0.00723853,-0.00035279,3.off,,0.570294
154,Human,11348,5676,triangles,-0.279213,0.329107,-0.94802,0.505744,-0.310635,0.398614,-0.00057525,-0.00532057,0.000554061,4.off,,0.627227
155,Human,30308,15154,triangles,-0.555662,0.433563,-0.931541,0.999906,-0.408832,0.365818,0.00301875,0.000575171,-0.00177101,5.off,TOO MANY VERTICES,1.48007
156,Human,20192,10098,triangles,-0.249875,0.251338,-0.988545,0.759861,-0.22694,0.166589,-0.000306619,-0.00105481,-0.000217126,6.off,TOO MANY VERTICES,0.344859
157,Human,16878,8441,triangles,-0.150307,0.188054,-0.28627,0.287679,-0.98605,0.874778,-3.38672e-06,-8.37812e-06,-0.000104231,7.off,,0.361376
158,Human,22026,11015,triangles,-0.325783,0.345327,-0.372229,0.388747,-0.989051,0.841066,2.8579e-05,3.86625e-05,-0.000150935,8.off,TOO MANY VERTICES,0.934638
